KM,Tarifa ($)
1,6988.46
2,6988.46
3,6988.46
4,6988.46
5,6988.46
6,6988.46
7,6988.46
8,6988.46
9,6988.46
10,6988.46
11,7153.46
12,7322.02
13,7490.63
14,7662.84
15,7840.49
16,8021.79
17,8203.05
18,8391.61
19,8583.77
20,8777.72
21,8942.72
22,9109.46
23,9283.5
24,9455.72
25,9635.19
26,9820.1
27,10006.83
28,10199.0
29,10396.6
30,10599.63
31,10721.08
32,10844.35
33,10967.62
34,11092.72
35,11219.6
36,11346.52
37,11471.62
38,11600.32
39,11729.03
40,11861.34
41,11991.87
42,12122.4
43,12256.54
44,12388.9
45,12524.86
46,12660.83
47,12798.62
48,12936.36
49,13075.98
50,13215.55
51,13326.13
52,13436.71
53,13549.11
54,13661.52
55,13775.71
56,13888.11
57,14002.3
58,14116.53
59,14232.54
60,14348.56
61,14466.39
62,14584.23
63,14702.07
64,14818.08
65,14939.57
66,15059.19
67,15180.64
68,15300.3
69,15425.4
70,15546.85
71,15671.94
72,15795.22
73,15922.1
74,16049.02
75,16177.72
76,16304.6
77,16435.13
78,16563.84
79,16698.02
80,16828.51
81,16962.69
82,17096.83
83,17232.79
84,17368.76
85,17506.5
86,17646.12
87,17785.69
88,17925.3
89,18068.49
90,18211.71
91,18356.75
92,18503.59
93,18650.42
94,18799.07
95,18947.73
96,19098.17
97,19252.3
98,19406.39
99,19562.26
100,19720.0
101,19812.46
102,19908.52
103,20004.62
104,20098.86
105,20193.14
106,20289.2
107,20383.48
108,20479.58
109,20575.65
110,20673.54
111,20767.81
112,20863.88
113,20961.76
114,21056.04
115,21153.93
116,21250.03
117,21347.92
118,21445.81
119,21541.87
120,21637.98
121,21735.86
122,21833.75
123,21931.64
124,22029.53
125,22129.24
126,22227.13
127,22325.01
128,22424.72
129,22522.61
130,22622.32
131,22722.04
132,22819.92
133,22919.64
134,23019.35
135,23119.06
136,23220.56
137,23320.27
138,23419.98
139,23521.52
140,23621.19
141,23724.55
142,23824.23
143,23925.76
144,24025.47
145,24128.8
146,24230.33
147,24331.83
148,24435.15
149,24536.69
150,24638.22
151,24743.33
152,24844.87
153,24950.01
154,25051.55
155,25156.66
156,25260.02
157,25363.34
158,25466.66
159,25571.81
160,25675.13
161,25782.1
162,25887.24
163,25990.57
164,26097.54
165,26202.68
166,26309.65
167,26414.8
168,26519.94
169,26626.87
170,26733.85
171,26838.99
172,26947.75
173,27054.72
174,27161.69
175,27270.44
176,27379.2
177,27486.17
178,27594.92
179,27703.72
180,27812.47
181,27921.23
182,28031.81
183,28140.6
184,28249.36
185,28359.94
186,28472.34
187,28582.92
188,28691.72
189,28802.3
190,28916.49
191,29027.07
192,29137.65
193,29251.88
194,29362.45
195,29474.86
196,29589.05
197,29701.45
198,29815.64
199,29928.05
200,30042.27
201,30145.6
202,30250.74
203,30357.67
204,30461.03
205,30566.18
206,30669.5
207,30776.47
208,30881.62
209,30988.55
210,31091.87
211,31198.84
212,31305.81
213,31412.74
214,31517.89
215,31624.86
216,31731.83
217,31838.76
218,31945.73
219,32054.48
220,32159.63
221,32268.43
222,32375.36
223,32484.15
224,32592.91
225,32701.7
226,32810.46
227,32919.21
228,33028.01
229,33136.76
230,33249.17
231,33357.92
232,33468.5
233,33577.3
234,33687.88
235,33800.28
236,33909.04
237,34019.62
238,34130.19
239,34244.42
240,34355.0
241,34465.58
242,34577.95
243,34690.35
244,34802.76
245,34916.99
246,35027.57
247,35139.93
248,35254.16
249,35370.17
250,35482.58
251,35596.76
252,35710.99
253,35825.18
254,35939.41
255,36053.6
256,36169.61
257,36283.84
258,36399.86
259,36517.69
260,36633.71
261,36747.94
262,36865.78
263,36981.79
264,37099.63
265,37215.64
266,37331.65
267,37449.49
268,37567.33
269,37686.99
270,37804.79
271,37922.63
272,38042.29
273,38160.13
274,38281.58
275,38401.24
276,38520.86
277,38640.52
278,38761.97
279,38883.46
280,39003.08
281,39124.57
282,39246.02
283,39369.29
284,39490.73
285,39614.01
286,39735.45
287,39856.94
288,39982.04
289,40103.48
290,40228.58
291,40351.85
292,40476.91
293,40602.01
294,40725.28
295,40852.16
296,40977.26
297,41104.18
298,41229.23
299,41356.15
300,41483.03
301,41575.49
302,41671.59
303,41765.83
304,41860.11
305,41954.39
306,42048.67
307,42142.9
308,42239.01
309,42331.46
310,42427.52
311,42519.98
312,42616.08
313,42710.32
314,42804.6
315,42900.66
316,42994.94
317,43089.22
318,43183.5
319,43279.56
320,43375.62
321,43469.9
322,43566.0
323,43660.24
324,43754.52
325,43850.58
326,43946.69
327,44040.97
328,44137.03
329,44233.09
330,44327.37
331,44425.26
332,44521.36
333,44615.64
334,44711.7
335,44807.76
336,44903.87
337,44999.93
338,45096.03
339,45192.1
340,45289.98
341,45384.26
342,45480.33
343,45578.21
344,45674.32
345,45770.38
346,45866.48
347,45964.37
348,46060.43
349,46158.32
350,46252.6
351,46350.49
352,46448.37
353,46544.48
354,46642.37
355,46740.25
356,46836.36
357,46932.42
358,47030.31
359,47128.19
360,47226.08
361,47324.01
362,47421.9
363,47519.79
364,47615.85
365,47711.95
366,47809.84
367,47907.73
368,48007.44
369,48105.33
370,48203.21
371,48301.1
372,48398.99
373,48496.88
374,48592.98
375,48694.48
376,48790.58
377,48888.47
378,48989.96
379,49086.07
380,49183.95
381,49283.67
382,49381.55
383,49481.27
384,49579.15
385,49678.87
386,49776.75
387,49878.29
388,49977.96
389,50075.85
390,50175.56
391,50275.28
392,50373.16
393,50472.88
394,50572.59
395,50672.3
396,50772.01
397,50869.9
398,50969.61
399,51069.28
400,51169.0
401,51241.54
402,51310.39
403,51379.29
404,51450.01
405,51518.9
406,51589.58
407,51658.47
408,51727.37
409,51798.05
410,51866.94
411,51935.84
412,52006.55
413,52075.41
414,52144.3
415,52215.02
416,52283.92
417,52352.77
418,52425.31
419,52494.21
420,52564.89
421,52633.78
422,52702.68
423,52773.35
424,52842.25
425,52911.14
426,52981.82
427,53050.72
428,53119.61
429,53190.33
430,53259.22
431,53329.9
432,53398.8
433,53467.69
434,53540.19
435,53609.09
436,53676.16
437,53748.66
438,53817.56
439,53886.45
440,53957.13
441,54026.02
442,54096.74
443,54165.64
444,54234.49
445,54305.21
446,54374.1
447,54443.0
448,54513.68
449,54582.57
450,54651.47
451,54722.14
452,54791.04
453,54859.93
454,54932.44
455,55001.33
456,55072.05
457,55140.94
458,55209.8
459,55280.52
460,55349.41
461,55418.31
462,55488.98
463,55557.88
464,55626.77
465,55697.45
466,55766.35
467,55835.24
468,55905.96
469,55974.81
470,56043.71
471,56116.21
472,56185.1
473,56252.17
474,56324.72
475,56393.57
476,56462.47
477,56533.19
478,56602.08
479,56670.97
480,56741.65
481,56810.55
482,56879.44
483,56950.12
484,57019.01
485,57087.91
486,57158.59
487,57227.48
488,57296.38
489,57367.09
490,57435.99
491,57504.84
492,57577.39
493,57646.24
494,57715.13
495,57785.85
496,57854.75
497,57923.6
498,57994.32
499,58063.22
500,58132.11
501,58175.62
502,58220.91
503,58262.64
504,58307.93
505,58351.44
506,58393.13
507,58438.46
508,58481.97
509,58525.48
510,58568.99
511,58610.68
512,58656.02
513,58697.7
514,58743.04
515,58784.72
516,58826.41
517,58871.74
518,58913.43
519,58955.11
520,59000.45
521,59042.13
522,59083.82
523,59129.15
524,59170.84
525,59212.56
526,59256.07
527,59297.76
528,59339.44
529,59382.95
530,59426.46
531,59468.15
532,59511.66
533,59553.34
534,59595.07
535,59636.76
536,59680.27
537,59720.13
538,59761.85
539,59803.54
540,59847.05
541,59888.73
542,59930.42
543,59970.32
544,60012.01
545,60055.52
546,60097.2
547,60137.1
548,60178.79
549,60222.3
550,60262.16
551,60303.88
552,60345.57
553,60385.43
554,60427.16
555,60468.84
556,60510.53
557,60550.43
558,60592.11
559,60631.97
560,60671.87
561,60715.38
562,60755.29
563,60795.15
564,60836.83
565,60876.73
566,60916.59
567,60958.32
568,60998.18
569,61038.08
570,61077.94
571,61117.84
572,61161.35
573,61201.21
574,61241.11
575,61280.97
576,61320.88
577,61360.74
578,61400.64
579,61440.5
580,61480.4
581,61520.3
582,61560.16
583,61600.06
584,61639.92
585,61679.82
586,61717.86
587,61757.76
588,61797.66
589,61837.52
590,61877.42
591,61915.46
592,61955.36
593,61995.26
594,62033.3
595,62073.2
596,62113.06
597,62151.14
598,62191.04
599,62230.9
600,62268.97
601,62308.88
602,62346.95
603,62386.81
604,62424.89
605,62464.75
606,62502.83
607,62539.08
608,62580.8
609,62617.05
610,62656.92
611,62694.99
612,62733.07
613,62772.93
614,62811.01
615,62849.08
616,62887.16
617,62927.06
618,62963.31
619,63001.35
620,63039.42
621,63077.5
622,63115.58
623,63153.65
624,63189.9
625,63229.76
626,63267.84
627,63305.92
628,63343.99
629,63382.07
630,63420.15
631,63454.57
632,63492.65
633,63530.73
634,63568.76
635,63605.05
636,63643.09
637,63681.17
638,63719.24
639,63755.49
640,63791.75
641,63829.82
642,63867.9
643,63904.15
644,63940.4
645,63978.48
646,64014.73
647,64052.81
648,64087.23
649,64125.31
650,64163.39
651,64199.64
652,64235.89
653,64272.14
654,64310.22
655,64344.69
656,64382.76
657,64419.01
658,64457.09
659,64491.52
660,64527.77
661,64565.84
662,64600.27
663,64636.52
664,64674.6
665,64709.07
666,64745.32
667,64783.39
668,64817.82
669,64854.07
670,64890.33
671,64924.79
672,64962.87
673,64999.12
674,65033.55
675,65069.8
676,65104.27
677,65140.52
678,65176.77
679,65211.2
680,65247.45
681,65281.92
682,65318.17
683,65354.42
684,65388.85
685,65425.14
686,65459.57
687,65495.82
688,65532.07
689,65566.54
690,65600.96
691,65635.43
692,65671.68
693,65706.11
694,65742.36
695,65775.0
696,65811.25
697,65845.68
698,65880.15
699,65914.58
700,65950.83
701,66003.42
702,66057.8
703,66110.39
704,66164.77
705,66215.5
706,66268.09
707,66322.47
708,66375.06
709,66427.61
710,66481.99
711,66534.58
712,66585.35
713,66639.73
714,66692.28
715,66746.66
716,66797.43
717,66850.02
718,66904.4
719,66955.17
720,67007.72
721,67062.1
722,67112.87
723,67165.46
724,67219.84
725,67270.57
726,67323.16
727,67373.93
728,67428.31
729,67479.07
730,67531.63
731,67582.39
732,67636.77
733,67687.54
734,67738.31
735,67792.69
736,67843.46
737,67896.01
738,67946.78
739,67999.33
740,68051.92
741,68102.69
742,68153.42
743,68207.84
744,68258.57
745,68309.33
746,68360.1
747,68410.87
748,68465.25
749,68516.02
750,68566.74
751,68617.51
752,68668.28
753,68720.83
754,68773.43
755,68824.2
756,68874.92
757,68927.52
758,68978.29
759,69029.01
760,69079.78
761,69130.55
762,69181.32
763,69233.87
764,69284.64
765,69333.58
766,69384.35
767,69435.12
768,69485.85
769,69536.62
770,69589.21
771,69639.94
772,69688.92
773,69739.65
774,69790.42
775,69841.19
776,69891.96
777,69940.9
778,69993.45
779,70044.22
780,70093.17
781,70143.93
782,70194.7
783,70243.65
784,70294.37
785,70345.14
786,70394.09
787,70444.86
788,70493.8
789,70546.39
790,70595.34
791,70646.06
792,70695.01
793,70745.78
794,70794.72
795,70845.49
796,70894.43
797,70943.38
798,70994.15
799,71043.09
800,71093.86
801,71131.93
802,71171.79
803,71209.87
804,71247.95
805,71287.81
806,71325.88
807,71365.79
808,71402.04
809,71440.11
810,71479.97
811,71518.05
812,71557.95
813,71595.99
814,71634.06
815,71673.96
816,71712.04
817,71750.08
818,71786.37
819,71826.23
820,71864.31
821,71902.38
822,71940.46
823,71978.5
824,72018.4
825,72056.47
826,72092.72
827,72130.8
828,72168.88
829,72206.91
830,72246.81
831,72284.89
832,72322.97
833,72359.22
834,72397.29
835,72435.33
836,72473.41
837,72511.48
838,72549.56
839,72585.81
840,72623.89
841,72661.96
842,72700.0
843,72738.08
844,72774.33
845,72812.4
846,72850.48
847,72888.56
848,72926.63
849,72964.71
850,72999.14
851,73037.21
852,73075.29
853,73113.33
854,73151.4
855,73187.65
856,73223.95
857,73261.98
858,73300.06
859,73336.31
860,73374.39
861,73410.64
862,73448.71
863,73484.97
864,73521.22
865,73559.29
866,73597.37
867,73631.8
868,73669.87
869,73707.95
870,73744.2
871,73780.45
872,73818.53
873,73854.78
874,73892.86
875,73927.33
876,73965.36
877,74003.44
878,74039.69
879,74075.94
880,74112.23
881,74150.27
882,74184.74
883,74222.81
884,74259.06
885,74297.14
886,74331.57
887,74367.82
888,74405.9
889,74440.32
890,74478.4
891,74514.65
892,74549.12
893,74587.19
894,74623.45
895,74661.52
896,74695.95
897,74732.2
898,74770.28
899,74804.7
900,74840.96
901,74875.42
902,74913.5
903,74949.75
904,74984.18
905,75020.43
906,75058.51
907,75092.97
908,75129.23
909,75165.48
910,75199.9
911,75236.16
912,75274.23
913,75308.7
914,75344.95
915,75379.38
916,75415.63
917,75451.88
918,75486.35
919,75522.6
920,75557.03
921,75593.28
922,75631.36
923,75665.82
924,75702.07
925,75738.33
926,75772.75
927,75809.05
928,75843.47
929,75877.9
930,75912.37
931,75948.62
932,75984.87
933,76019.3
934,76055.59
935,76090.02
936,76126.27
937,76162.52
938,76196.99
939,76231.41
940,76265.84
941,76302.13
942,76336.56
943,76372.81
944,76405.45
945,76441.71
946,76477.96
947,76512.42
948,76548.68
949,76581.28
950,76617.53
951,76652.0
952,76686.42
953,76720.89
954,76757.14
955,76789.79
956,76826.04
957,76860.46
958,76894.93
959,76929.36
960,76965.61
961,76998.25
962,77034.5
963,77070.76
964,77103.4
965,77139.65
966,77172.29
967,77208.55
968,77241.15
969,77277.44
970,77311.87
971,77346.29
972,77380.76
973,77415.19
974,77449.66
975,77482.26
976,77518.51
977,77551.15
978,77587.4
979,77620.05
980,77654.47
981,77688.94
982,77723.37
983,77757.83
984,77792.26
985,77824.9
986,77861.16
987,77893.8
988,77926.4
989,77962.65
990,77995.3
991,78029.76
992,78064.19
993,78098.62
994,78131.26
995,78167.51
996,78200.15
997,78234.58
998,78267.22
999,78303.47
1000,78336.12
1001,78377.8
1002,78419.49
1003,78463.0
1004,78504.72
1005,78546.41
1006,78586.27
1007,78629.78
1008,78671.51
1009,78713.19
1010,78754.88
1011,78798.39
1012,78838.29
1013,78879.97
1014,78921.66
1015,78965.17
1016,79005.07
1017,79046.76
1018,79088.44
1019,79130.13
1020,79170.03
1021,79213.54
1022,79253.4
1023,79295.08
1024,79336.81
1025,79376.67
1026,79420.18
1027,79460.08
1028,79501.77
1029,79541.67
1030,79583.35
1031,79623.21
1032,79666.72
1033,79706.62
1034,79746.48
1035,79788.21
1036,79828.07
1037,79869.76
1038,79909.66
1039,79949.52
1040,79993.03
1041,80032.93
1042,80072.79
1043,80112.69
1044,80154.38
1045,80194.28
1046,80234.14
1047,80274.04
1048,80313.9
1049,80353.8
1050,80397.31
1051,80437.17
1052,80477.07
1053,80516.93
1054,80556.83
1055,80596.74
1056,80636.6
1057,80676.5
1058,80716.36
1059,80756.26
1060,80796.12
1061,80836.02
1062,80875.88
1063,80915.78
1064,80955.64
1065,80995.54
1066,81035.41
1067,81073.48
1068,81113.38
1069,81153.24
1070,81193.14
1071,81234.83
1072,81271.08
1073,81310.98
1074,81350.84
1075,81390.74
1076,81428.82
1077,81468.68
1078,81508.58
1079,81546.66
1080,81586.52
1081,81626.42
1082,81664.46
1083,81704.36
1084,81742.43
1085,81782.29
1086,81820.37
1087,81860.27
1088,81898.35
1089,81938.21
1090,81976.29
1091,82016.15
1092,82054.22
1093,82094.12
1094,82130.38
1095,82170.24
1096,82208.31
1097,82246.39
1098,82286.29
1099,82324.37
1100,82362.4
1101,82402.3
1102,82440.38
1103,82478.46
1104,82514.71
1105,82554.57
1106,82592.64
1107,82630.72
1108,82668.8
1109,82706.87
1110,82746.73
1111,82784.81
1112,82821.06
1113,82859.14
1114,82897.22
1115,82935.25
1116,82973.33
1117,83011.4
1118,83047.66
1119,83085.73
1120,83123.81
1121,83161.88
1122,83199.96
1123,83236.21
1124,83274.29
1125,83312.32
1126,83350.4
1127,83388.48
1128,83426.55
1129,83460.98
1130,83499.06
1131,83537.13
1132,83575.21
1133,83611.46
1134,83649.54
1135,83685.79
1136,83723.87
1137,83761.9
1138,83796.37
1139,83834.45
1140,83872.52
1141,83910.56
1142,83945.03
1143,83983.1
1144,84019.35
1145,84055.61
1146,84093.68
1147,84129.93
1148,84168.01
1149,84202.44
1150,84240.51
1151,84276.76
1152,84314.84
1153,84349.27
1154,84387.34
1155,84423.6
1156,84459.85
1157,84496.1
1158,84534.18
1159,84568.64
1160,84604.89
1161,84642.97
1162,84677.4
1163,84713.65
1164,84751.73
1165,84787.98
1166,84822.45
1167,84860.48
1168,84896.77
1169,84931.2
1170,84967.45
1171,85005.53
1172,85039.96
1173,85076.21
1174,85110.67
1175,85146.93
1176,85183.18
1177,85219.43
1178,85255.68
1179,85291.93
1180,85326.4
1181,85362.65
1182,85397.08
1183,85433.37
1184,85469.62
1185,85504.05
1186,85540.3
1187,85574.77
1188,85611.02
1189,85647.27
1190,85681.7
1191,85717.95
1192,85752.42
1193,85788.67
1194,85821.31
1195,85857.56
1196,85893.82
1197,85928.24
1198,85964.49
1199,85998.96
1200,86033.39
1201,86067.86
1202,86104.11
1203,86140.36
1204,86173.0
1205,86209.25
1206,86243.68
1207,86276.32
1208,86312.57
1209,86348.83
1210,86381.47
1211,86417.72
1212,86452.15
1213,86486.61
1214,86521.04
1215,86555.51
1216,86589.94
1217,86624.4
1218,86658.83
1219,86695.08
1220,86727.72
1221,86763.98
1222,86796.62
1223,86831.05
1224,86865.47
1225,86898.12
1226,86934.37
1227,86967.01
1228,87003.26
1229,87035.9
1230,87070.33
1231,87104.8
1232,87139.23
1233,87171.87
1234,87208.12
1235,87240.76
1236,87275.19
1237,87307.83
1238,87342.26
1239,87376.73
1240,87409.33
1241,87443.8
1242,87476.4
1243,87512.69
1244,87545.29
1245,87577.94
1246,87612.36
1247,87645.0
1248,87677.65
1249,87712.07
1250,87744.72
1251,87780.97
1252,87813.61
1253,87848.04
1254,87880.68
1255,87913.32
1256,87947.75
1257,87980.39
1258,88013.0
1259,88047.46
1260,88078.28
1261,88110.92
1262,88145.35
1263,88177.99
1264,88210.6
1265,88245.06
1266,88277.71
1267,88312.13
1268,88342.95
1269,88375.59
1270,88408.2
1271,88442.66
1272,88475.31
1273,88506.12
1274,88540.55
1275,88573.19
1276,88607.62
1277,88638.44
1278,88671.08
1279,88703.72
1280,88736.33
1281,88768.97
1282,88801.61
1283,88832.43
1284,88866.86
1285,88899.5
1286,88930.32
1287,88964.74
1288,88995.56
1289,89028.2
1290,89059.02
1291,89093.45
1292,89124.27
1293,89156.91
1294,89187.73
1295,89222.15
1296,89252.97
1297,89285.61
1298,89318.26
1299,89350.9
1300,89381.72
1301,89412.54
1302,89446.96
1303,89477.78
1304,89508.6
1305,89541.24
1306,89572.06
1307,89604.66
1308,89637.3
1309,89668.12
1310,89698.94
1311,89729.76
1312,89764.23
1313,89795.04
1314,89825.86
1315,89856.68
1316,89891.11
1317,89921.92
1318,89952.74
1319,89983.56
1320,90014.38
1321,90045.2
1322,90076.01
1323,90110.44
1324,90141.26
1325,90172.12
1326,90202.94
1327,90233.75
1328,90266.36
1329,90297.17
1330,90327.99
1331,90358.81
1332,90389.63
1333,90420.45
1334,90451.26
1335,90483.91
1336,90514.72
1337,90545.54
1338,90576.36
1339,90605.35
1340,90636.17
1341,90666.99
1342,90697.81
1343,90730.45
1344,90761.27
1345,90790.26
1346,90821.08
1347,90851.9
1348,90882.71
1349,90913.53
1350,90942.57
1351,90973.38
1352,91005.99
1353,91036.8
1354,91065.84
1355,91096.66
1356,91127.47
1357,91156.47
1358,91187.29
1359,91218.1
1360,91247.1
1361,91277.91
1362,91306.95
1363,91337.77
1364,91368.58
1365,91397.58
1366,91428.4
1367,91457.39
1368,91490.03
1369,91517.2
1370,91549.84
1371,91578.84
1372,91609.65
1373,91638.69
1374,91669.51
1375,91698.5
1376,91729.32
1377,91758.31
1378,91787.34
1379,91818.16
1380,91847.15
1381,91877.97
1382,91906.97
1383,91936.0
1384,91966.82
1385,91995.81
1386,92024.8
1387,92055.62
1388,92084.66
1389,92113.65
1390,92142.64
1391,92173.46
1392,92202.45
1393,92231.49
1394,92260.48
1395,92289.47
1396,92320.29
1397,92349.32
1398,92378.32
1399,92405.53
1400,92434.52
1401,92463.51
1402,92494.33
1403,92523.32
1404,92552.36
1405,92581.35
1406,92610.34
1407,92639.38
1408,92668.37
1409,92697.37
1410,92726.36
1411,92755.39
1412,92784.39
1413,92813.38
1414,92842.41
1415,92871.41
1416,92898.61
1417,92927.61
1418,92956.6
1419,92985.59
1420,93014.63
1421,93041.8
1422,93070.83
1423,93099.82
1424,93128.82
1425,93157.85
1426,93185.02
1427,93212.23
1428,93241.22
1429,93270.21
1430,93299.25
1431,93328.24
1432,93355.45
1433,93382.62
1434,93411.61
1435,93440.65
1436,93467.81
1437,93496.85
1438,93525.84
1439,93553.05
1440,93582.04
1441,93609.21
1442,93636.42
1443,93665.41
1444,93694.45
1445,93721.62
1446,93750.61
1447,93775.99
1448,93805.03
1449,93832.2
1450,93861.23
1451,93890.22
1452,93915.61
1453,93944.6
1454,93971.81
1455,94000.8
1456,94028.01
1457,94057.0
1458,94082.39
1459,94109.56
1460,94138.59
1461,94066.05
1462,94091.43
1463,94120.47
1464,94147.63
1465,94174.84
1466,94203.84
1467,94229.22
1468,94256.39
1469,94285.42
1470,94312.59
1471,94337.98
1472,94367.01
1473,94394.18
1474,94421.39
1475,94446.77
1476,94475.76
1477,94502.97
1478,94530.14
1479,94555.53
1480,94584.52
1481,94611.73
1482,94638.94
1483,94664.28
1484,94691.49
1485,94718.7
1486,94747.69
1487,94773.08
1488,94800.24
1489,94827.45
1490,94852.84
1491,94880.01
1492,94907.22
1493,94934.42
1494,94959.77
1495,94986.98
1496,95014.19
1497,95039.57
1498,95066.74
1499,95093.95
1500,95119.33
