Provincia,Departamento,Rendimiento_Promedio_kg_ha,Desviacion_Estandar_kg_ha
Buenos Aires,Rojas,8874,1851
Buenos Aires,Leandro N. Alem,8578,1608
Buenos Aires,General Arenales,8523,1798
Buenos Aires,Colón,8517,1700
Buenos Aires,Salto,8465,1773
Buenos Aires,Junín,8459,1726
Buenos Aires,Pergamino,8433,1834
Buenos Aires,Chacabuco,8414,1744
Buenos Aires,General Viamonte,8365,1344
Buenos Aires,General Pinto,8333,1529
Buenos Aires,Lincoln,8220,1504
Buenos Aires,Florentino Ameghino,8084,1690
Buenos Aires,Carlos Casares,8030,1112
Buenos Aires,General Villegas,7921,1488
Buenos Aires,Rivadavia,7877,1168
Buenos Aires,Capitán Sarmiento,7868,1786
Buenos Aires,Arrecifes,7788,1795
Buenos Aires,San Antonio de Areco,7756,1709
Buenos Aires,9 de Julio,7751,1615
Buenos Aires,Campana,7746,1838
Buenos Aires,Pehuajó,7735,1158
Buenos Aires,Carmen de Areco,7732,1764
Buenos Aires,Exaltación de la Cruz,7706,1805
Buenos Aires,Alberti,7673,1827
Buenos Aires,Ramallo,7673,1754
Buenos Aires,San Pedro,7622,1759
Buenos Aires,Bragado,7618,1561
Buenos Aires,San Andrés de Giles,7612,1812
Buenos Aires,Chivilcoy,7571,1916
Buenos Aires,Baradero,7562,1881
Buenos Aires,San Nicolás,7540,1906
Buenos Aires,Trenque Lauquen,7499,1085
Buenos Aires,Pilar,7437,1424
Buenos Aires,General Las Heras,7393,1263
Buenos Aires,Punta Indio,7392,823
Buenos Aires,Luján,7382,1312
Buenos Aires,Villarino,7306,1442
Buenos Aires,25 de Mayo,7305,1400
Buenos Aires,Patagones,7294,1538
Buenos Aires,Chascomús,7284,1183
Buenos Aires,General Juan Madariaga,7275,1400
Buenos Aires,General Paz,7256,1039
Buenos Aires,Carlos Tejedor,7201,1394
Buenos Aires,Hipólito Yrigoyen,7174,1150
Buenos Aires,Saladillo,7173,1338
Buenos Aires,Cañuelas,7171,1308
Buenos Aires,La Plata,7169,1087
Buenos Aires,Navarro,7140,1375
Buenos Aires,Daireaux,7105,1172
Buenos Aires,Lobos,7099,1341
Buenos Aires,San Vicente,7080,1111
Buenos Aires,Brandsen,7060,1062
Buenos Aires,Magdalena,7050,1024
Buenos Aires,Monte,7034,1293
Buenos Aires,Bolívar,7019,1199
Buenos Aires,Roque Pérez,7012,1311
Buenos Aires,Las Flores,7004,1326
Buenos Aires,Maipú,6951,1331
Buenos Aires,General Belgrano,6947,1230
Buenos Aires,Mar Chiquita,6901,1332
Buenos Aires,Olavarría,6808,1082
Buenos Aires,General Pueyrredón,6773,1516
Buenos Aires,General Alvear,6759,1070
Buenos Aires,General Alvarado,6633,1487
Buenos Aires,Tapalqué,6587,979
Buenos Aires,Balcarce,6546,1218
Buenos Aires,Necochea,6469,1593
Buenos Aires,Lobería,6421,1332
Buenos Aires,Tandil,6407,1176
Buenos Aires,Tres Lomas,6313,1422
Buenos Aires,Ayacucho,6284,1148
Buenos Aires,Pila,6242,1376
Buenos Aires,General Lavalle,6232,1276
Buenos Aires,Rauch,6205,1165
Buenos Aires,Azul,6169,1296
Buenos Aires,Pellegrini,6135,1283
Buenos Aires,Guaminí,6125,1077
Buenos Aires,Suipacha,6115,2093
Buenos Aires,Castelli,6079,1357
Buenos Aires,Tres Arroyos,6078,1367
Buenos Aires,Salliqueló,6064,1426
Buenos Aires,Mercedes,6043,2116
Buenos Aires,San Cayetano,5991,1458
Buenos Aires,General Guido,5976,1179
Buenos Aires,Benito Juárez,5581,1077
Buenos Aires,Coronel Suárez,5542,1195
Buenos Aires,Dolores,5531,1088
Buenos Aires,Tordillo,5300,942
Buenos Aires,Laprida,5264,1118
Buenos Aires,General La Madrid,5229,953
Buenos Aires,Adolfo Alsina,5197,1458
Buenos Aires,Adolfo Gonzales Chaves,5115,1264
Buenos Aires,Coronel Pringles,4808,1209
Buenos Aires,Coronel Dorrego,4523,1457
Buenos Aires,Saavedra,4427,796
Buenos Aires,Puán,4164,875
Buenos Aires,Tornquist,4145,783
Buenos Aires,Bahía Blanca,3774,1639
Buenos Aires,Coronel de Marina Leonardo Rosales,3610,1122
Catamarca,Santa Rosa,5632,1607
Catamarca,Capayán,4667,810
Catamarca,El Alto,4560,1257
Catamarca,Paclín,3971,71
Chaco,Chacabuco,4405,1541
Chaco,9 de Julio,4394,1527
Chaco,2 de Abril,4377,1546
Chaco,General Belgrano,4315,1525
Chaco,12 de Octubre,4289,1524
Chaco,O'Higgins,4194,1475
Chaco,Almirante Brown,4122,1527
Chaco,Sargento Cabral,4067,1418
Chaco,Mayor Luis J. Fontana,4019,1698
Chaco,San Fernando,3930,1219
Chaco,Independencia,3927,1273
Chaco,Fray Justo Santa María de Oro,3856,1502
Chaco,Maipú,3796,1300
Chaco,San Lorenzo,3736,1384
Chaco,General Güemes,3686,1335
Chaco,Comandante Fernández,3454,1443
Chaco,Quitilipi,3316,1385
Chaco,Libertador General San Martín,3239,846
Chaco,Bermejo,3219,1076
Chaco,25 de Mayo,2965,847
Chaco,Presidencia de la Plaza,2846,686
Chaco,General Donovan,2718,583
Chaco,1° de Mayo,2687,497
Chaco,Libertad,2674,503
Chaco,Tapenagá,2344,345
Corrientes,Capital,5059,940
Corrientes,Berón de Astrada,5050,899
Corrientes,Saladas,4720,1250
Corrientes,Paso de los Libres,4641,1309
Corrientes,San Luis del Palmar,4627,1356
Corrientes,Mercedes,4534,1253
Corrientes,Curuzu Cuatia,4429,1463
Corrientes,Sauce,4387,1317
Corrientes,San Roque,4310,1532
Corrientes,Santo Tomé,4310,1175
Corrientes,Lavalle,4153,1697
Corrientes,Empedrado,4074,1757
Corrientes,Bella Vista,4053,1549
Corrientes,Esquina,4020,1590
Corrientes,sin definir,3987,810
Corrientes,Concepción,3959,1682
Corrientes,Goya,3929,1772
Corrientes,Monte Caseros,2361,803
Corrientes,General Paz,1826,719
Corrientes,Mburucuyá,1721,737
Córdoba,Marcos Juárez,9140,1349
Córdoba,Unión,8517,1463
Córdoba,San Javier,7892,1799
Córdoba,Presidente Roque Sáenz Peña,7591,1289
Córdoba,General Roca,7074,1128
Córdoba,San Justo,7073,1441
Córdoba,Río Segundo,7063,1518
Córdoba,Colón,7056,1477
Córdoba,Tercero Arriba,7025,1478
Córdoba,General San Martín,6984,1655
Córdoba,Santa María,6982,1536
Córdoba,Capital,6906,1327
Córdoba,Totoral,6784,1472
Córdoba,Río Primero,6759,1463
Córdoba,Cruz del Eje,6531,1172
Córdoba,San Alberto,6349,1670
Córdoba,Tulumba,6255,1569
Córdoba,Río Seco,6209,1723
Córdoba,Juárez Celman,6170,1323
Córdoba,Ischilín,6001,1381
Córdoba,Calamuchita,5887,1095
Córdoba,Sobremonte,5827,1008
Córdoba,Pocho,5753,1422
Córdoba,Río Cuarto,5697,1142
Entre Ríos,Diamante,6463,1585
Entre Ríos,Paraná,6283,1493
Entre Ríos,La Paz,5944,1522
Entre Ríos,Victoria,5835,1759
Entre Ríos,Federal,5691,1513
Entre Ríos,Concordia,5643,1545
Entre Ríos,Gualeguay,5561,1743
Entre Ríos,Federación,5340,1346
Entre Ríos,Feliciano,5289,1315
Entre Ríos,Nogoyá,5123,1632
Entre Ríos,Gualeguaychú,5100,1758
Entre Ríos,Uruguay,4947,1659
Entre Ríos,Tala,4879,1612
Entre Ríos,Villaguay,4860,1571
Entre Ríos,San Salvador,4764,1579
Entre Ríos,Colón,4754,1698
Formosa,sin definir,4073,749
Formosa,Formosa,3602,1009
Formosa,Laishí,3450,914
Formosa,Pirané,3409,766
Formosa,Bermejo,3201,1041
Formosa,Pilagás,3042,470
Formosa,Pilcomayo,3039,469
Formosa,Patiño,2779,610
Jujuy,San Antonio,4520,1106
Jujuy,Palpalá,4497,1099
Jujuy,Santa Bárbara,4487,1094
Jujuy,Dr. Manuel Belgrano,4471,1083
Jujuy,Ledesma,4463,1068
Jujuy,San Pedro,4461,1080
Jujuy,El Carmen,4312,1181
La Pampa,Chapaleufú,7771,1700
La Pampa,Maracó,7599,1816
La Pampa,Quemú Quemú,7217,1867
La Pampa,Realicó,6657,2148
La Pampa,Rancul,6235,2027
La Pampa,Trenel,5883,1833
La Pampa,Conhelo,5705,1723
La Pampa,Catriló,5115,1041
La Pampa,Atreucó,4653,1095
La Pampa,Capital,4418,893
La Pampa,Toay,3459,607
La Pampa,Guatraché,3436,652
La Pampa,Loventué,3160,815
La Pampa,Utracán,3147,749
La Pampa,Hucal,3027,508
Misiones,Candelaria,3876,1016
Misiones,Capital,3572,694
Misiones,General Manuel Belgrano,3522,963
Misiones,Iguazú,3480,917
Misiones,Guaraní,3407,933
Misiones,San Pedro,3396,914
Misiones,25 de Mayo,3371,938
Misiones,Apóstoles,3234,794
Misiones,Cainguás,3198,906
Misiones,Montecarlo,3169,896
Misiones,San Javier,3148,911
Misiones,Eldorado,3133,983
Misiones,Oberá,3116,916
Misiones,Leandro N. Alem,3087,924
Misiones,Libertador General San Martín,3082,989
Misiones,San Ignacio,2973,960
Salta,Rivadavia,5814,731
Salta,Cerrillos,5666,1187
Salta,Rosario de Lerma,5648,1216
Salta,Capital,5619,1171
Salta,Rosario de la Frontera,5562,1251
Salta,Metán,5553,1311
Salta,Chicoana,5509,1247
Salta,Anta,5483,1228
Salta,General Güemes,5461,1287
Salta,La Viña,5441,1204
Salta,La Candelaria,5381,1234
Salta,Orán,5359,1304
Salta,General José de San Martín,5331,1340
Salta,La Caldera,5330,1189
Salta,Cachi,4602,781
San Luis,Ayacucho,10859,1576
San Luis,Junín,7334,1849
San Luis,Coronel Pringles,5130,1319
San Luis,Juan Martín de Pueyrredón,4985,1350
San Luis,General Pedernera,4796,1252
San Luis,Libertador General San Martín,4640,1624
San Luis,Chacabuco,4425,1278
San Luis,Gobernador Dupuy,4189,987
San Luis,sin definir,4116,765
San Luis,Belgrano,2216,660
Santa Fe,General López,9032,1529
Santa Fe,Belgrano,7774,1879
Santa Fe,Iriondo,7687,1907
Santa Fe,San Lorenzo,7624,1986
Santa Fe,Villa Constitución,7511,1923
Santa Fe,Rosario,7270,2068
Santa Fe,San Jerónimo,6926,1845
Santa Fe,Castellanos,6652,1600
Santa Fe,Las Colonias,6334,1531
Santa Fe,La Capital,5741,1742
Santa Fe,Garay,5607,2113
Santa Fe,San Justo,5536,1614
Santa Fe,San Cristóbal,5423,1392
Santa Fe,9 de Julio,4707,1686
Santa Fe,Vera,4218,998
Santa Fe,General Obligado,3414,830
Santa Fe,San Javier,3318,615
Santiago del Estero,Capital,6434,1381
Santiago del Estero,Silípica,6422,1502
Santiago del Estero,Jiménez,6347,1555
Santiago del Estero,Robles,6301,1449
Santiago del Estero,Mitre,6259,1627
Santiago del Estero,Pellegrini,6173,1578
Santiago del Estero,Río Hondo,6082,1722
Santiago del Estero,Banda,6041,1358
Santiago del Estero,General Taboada,5961,1748
Santiago del Estero,Rivadavia,5958,1570
Santiago del Estero,Loreto,5888,1364
Santiago del Estero,Alberdi,5877,1944
Santiago del Estero,Belgrano,5844,1739
Santiago del Estero,Figueroa,5839,1306
Santiago del Estero,Guasayán,5820,1635
Santiago del Estero,Juan F. Ibarra,5771,1751
Santiago del Estero,Choya,5770,1350
Santiago del Estero,Sarmiento,5463,1479
Santiago del Estero,Copo,5395,1711
Santiago del Estero,Aguirre,5342,1668
Santiago del Estero,Quebrachos,5301,985
Santiago del Estero,sin definir,3339,490
Tucumán,Trancas,6158,1260
Tucumán,Cruz Alta,5487,1219
Tucumán,Burruyacú,5423,1174
Tucumán,La Cocha,5377,1458
Tucumán,Simoca,5289,1284
Tucumán,Leales,5246,1406
Tucumán,Graneros,5092,1463
Tucumán,Famaillá,5050,753
Tucumán,Tafí del Valle,5022,1344
Tucumán,Chicligasta,4937,979
Tucumán,Juan Bautista Alberdi,4761,1626
Tucumán,Río Chico,4579,1472
Tucumán,sin definir,4531,588
Tucumán,Monteros,4452,1374
